Date,sulfate,nitrate,ID
1/1/2000,NA,NA,34
1/2/2000,NA,NA,34
1/3/2000,NA,NA,34
1/4/2000,NA,NA,34
1/5/2000,NA,NA,34
1/6/2000,NA,NA,34
1/7/2000,NA,NA,34
1/8/2000,NA,NA,34
1/9/2000,NA,NA,34
1/10/2000,NA,NA,34
1/11/2000,NA,NA,34
1/12/2000,NA,NA,34
1/13/2000,NA,NA,34
1/14/2000,NA,NA,34
1/15/2000,NA,NA,34
1/16/2000,NA,NA,34
1/17/2000,NA,NA,34
1/18/2000,NA,NA,34
1/19/2000,NA,NA,34
1/20/2000,NA,NA,34
1/21/2000,NA,NA,34
1/22/2000,NA,NA,34
1/23/2000,NA,NA,34
1/24/2000,NA,NA,34
1/25/2000,NA,NA,34
1/26/2000,NA,NA,34
1/27/2000,NA,NA,34
1/28/2000,NA,NA,34
1/29/2000,NA,NA,34
1/30/2000,NA,NA,34
1/31/2000,NA,NA,34
2/1/2000,NA,NA,34
2/2/2000,NA,NA,34
2/3/2000,NA,NA,34
2/4/2000,NA,NA,34
2/5/2000,NA,NA,34
2/6/2000,NA,NA,34
2/7/2000,NA,NA,34
2/8/2000,NA,NA,34
2/9/2000,NA,NA,34
2/10/2000,0.3601,0.4246,34
2/11/2000,NA,NA,34
2/12/2000,NA,NA,34
2/13/2000,NA,NA,34
2/14/2000,NA,NA,34
2/15/2000,NA,NA,34
2/16/2000,NA,NA,34
2/17/2000,0.5011,1.692,34
2/18/2000,NA,NA,34
2/19/2000,NA,NA,34
2/20/2000,NA,NA,34
2/21/2000,0.3649,0.5123,34
2/22/2000,NA,NA,34
2/23/2000,NA,NA,34
2/24/2000,NA,NA,34
2/25/2000,NA,NA,34
2/26/2000,NA,NA,34
2/27/2000,0.3977,0.3181,34
2/28/2000,NA,NA,34
2/29/2000,NA,NA,34
3/1/2000,NA,NA,34
3/2/2000,NA,NA,34
3/3/2000,NA,NA,34
3/4/2000,1.056,2.034,34
3/5/2000,NA,NA,34
3/6/2000,NA,NA,34
3/7/2000,NA,NA,34
3/8/2000,NA,NA,34
3/9/2000,NA,NA,34
3/10/2000,1.631,1.527,34
3/11/2000,NA,NA,34
3/12/2000,NA,NA,34
3/13/2000,NA,NA,34
3/14/2000,NA,NA,34
3/15/2000,NA,NA,34
3/16/2000,0.752,0.879,34
3/17/2000,NA,NA,34
3/18/2000,NA,NA,34
3/19/2000,NA,NA,34
3/20/2000,NA,NA,34
3/21/2000,NA,NA,34
3/22/2000,1.083,1.159,34
3/23/2000,NA,NA,34
3/24/2000,NA,NA,34
3/25/2000,NA,NA,34
3/26/2000,NA,NA,34
3/27/2000,NA,NA,34
3/28/2000,0.7156,1.11,34
3/29/2000,NA,NA,34
3/30/2000,NA,NA,34
3/31/2000,NA,NA,34
4/1/2000,NA,NA,34
4/2/2000,NA,NA,34
4/3/2000,2.284,2.936,34
4/4/2000,NA,NA,34
4/5/2000,NA,NA,34
4/6/2000,2.335,5.145,34
4/7/2000,NA,NA,34
4/8/2000,NA,NA,34
4/9/2000,0.971,0.3505,34
4/10/2000,NA,NA,34
4/11/2000,NA,NA,34
4/12/2000,1.256,0.6377,34
4/13/2000,NA,NA,34
4/14/2000,NA,NA,34
4/15/2000,0.618,0.4008,34
4/16/2000,NA,NA,34
4/17/2000,NA,NA,34
4/18/2000,0.6471,1.088,34
4/19/2000,NA,NA,34
4/20/2000,NA,NA,34
4/21/2000,1.227,1.291,34
4/22/2000,NA,NA,34
4/23/2000,NA,NA,34
4/24/2000,0.7981,1.084,34
4/25/2000,NA,NA,34
4/26/2000,NA,NA,34
4/27/2000,0.6669,0.6574,34
4/28/2000,NA,NA,34
4/29/2000,NA,NA,34
4/30/2000,0.671,1.328,34
5/1/2000,NA,NA,34
5/2/2000,NA,NA,34
5/3/2000,1.198,1.379,34
5/4/2000,NA,NA,34
5/5/2000,NA,NA,34
5/6/2000,0.7077,0.87,34
5/7/2000,NA,NA,34
5/8/2000,NA,NA,34
5/9/2000,0.6439,0.327,34
5/10/2000,NA,NA,34
5/11/2000,NA,NA,34
5/12/2000,0.506,1.284,34
